Year,Month,Day,totflfAs,totflfAsstd,seedsfAs,seedsfAsstd,leafflfAs,leafflfAsstd,fruitflfAs,fruitflfAsstd,flowerflfAs,flowerflfAsstd,branchflfAs,branchflfAsstd,date,yearmonth
2013,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15/01/13,Jan-13
2013,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15/02/13,Feb-13
2013,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15/03/13,Mar-13
2013,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15/04/13,Apr-13
2013,5,NA,0.688889764,0.054628215,NA,NA,0.584165354,0.049885009,0.012508948,0.004033002,0.009870641,NA,0.079002625,0.020113884,15/05/13,May-13
2013,6,NA,0.126125984,0.011270039,NA,NA,0.102858268,0.009874208,0.002587177,0.000489997,0.007930259,NA,0.020120922,0.006071269,15/06/13,Jun-13
2013,7,NA,0.132291339,0.011971469,NA,NA,0.120771654,0.010340962,0.003297244,0.000852718,0.009131671,NA,0.004035433,0.000646317,15/07/13,Jul-13
2013,8,NA,0.176338583,0.013163165,NA,NA,0.141362205,0.01006047,0.007427822,0.002196447,0.023807962,NA,0.015590551,0.004284321,15/08/13,Aug-13
2013,9,NA,0.158149606,0.014400563,NA,NA,0.126913386,0.011427763,0.005667651,0.001504193,0.007556868,NA,0.013629546,0.0027514,15/09/13,Sep-13
2013,10,NA,0.180047244,0.016119166,NA,NA,0.12907874,0.010303957,0.00598254,0.001334827,0.005511811,NA,0.037948381,0.013466886,15/10/13,Oct-13
2013,11,NA,0.253574803,0.025821612,NA,NA,0.177015748,0.014595565,0.015280512,0.004986062,0.007874016,NA,0.046277738,0.016468448,15/11/13,Nov-13
2013,12,NA,0.158094488,0.020917477,NA,NA,0.116976378,0.016560209,0.00414206,0.001067798,0.009212598,NA,0.02519685,0.006917279,15/12/13,Dec-13
2014,1,NA,0.225787402,0.037399693,NA,NA,0.149456693,0.013262547,0.008196135,0.002154146,0.008989501,NA,0.056791339,0.028643171,15/01/14,Jan-14
2014,2,NA,0.253062992,0.079615506,NA,NA,0.156299213,0.025168193,0.006535433,0.001956057,0.005954724,NA,0.046791339,0.0200718,15/02/14,Feb-14
2014,3,NA,0.263637795,0.025327993,NA,NA,0.172834646,0.013989523,0.016625656,0.005753644,0.00019685,NA,0.045988001,0.009109886,15/03/14,Mar-14
2014,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15/04/14,Apr-14
2014,5,NA,0.298267717,0.025282021,NA,NA,0.224362205,0.014834639,0.018648985,0.004697427,0.006496063,NA,0.035023622,0.011709979,15/05/14,May-14
2014,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15/06/14,Jun-14
2014,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15/07/14,Jul-14
2014,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15/08/14,Aug-14
2014,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15/09/14,Sep-14
2014,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15/10/14,Oct-14
2014,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15/11/14,Nov-14
2014,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15/12/14,Dec-14
Annual mean,,,2.914267717,0.335916918,,,2.202094488,0.200303046,0.106900162,0.031026317,0.102532965,,0.426396348,0.140254639,,
